entityid,TYPE,NAME,ADDRESS,LOCATION,LATITUDE,LONGITUDE
,ATHLETIC FIELD,HENRY JANZEN SOCCER - ATHLETIC FIELD SOCCER ATHLETIC FIELD,390 DALGLIESH DRIVE,HENRY JANZEN SOCCER,50.4904489510001,-104.656014981
,BALL DIAMOND,ST. MICHAEL SCHOOL - BALL DIAMOND BS #258,431 HAMILTON STREET,ST. MICHAEL SCHOOL,50.4712922240001,-104.608229174
,ATHLETIC FIELD,GEORGE LEE SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,180 WELLS STREET,GEORGE LEE SCHOOL,50.488620488,-104.648656049
,BALL DIAMOND,W.H. FORD PARK - BALL DIAMOND BS #195,6129 DALGLIESH DRIVE,W.H. FORD PARK,50.4893972230001,-104.670275237
,ATHLETIC FIELD,SANGSTER PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,496 SANGSTER BOULEVARD,SANGSTER PARK,50.489806016,-104.626470177
,WASCANA CENTRE,DARKE HALL,2255 COLLEGE AVENUE,WASCANA CENTRE,50.4399389920001,-104.612242963
,BALL DIAMOND,ELSIE DORSEY PARK - BALL DIAMOND BS #10,4199 CASTLE ROAD,ELSIE DORSEY PARK,50.410065681,-104.598646449
,PUBLIC ELEMENTARY SCHOOL,W. F. READY - PUBLIC ELEMENTARY SCHOOL,2710 HELMSING STREET,W. F. READY - PUBLIC ELEMENTARY SCHOOL,50.437423654,-104.539884263
,BALL DIAMOND,IMPERIAL PARK - BALL DIAMOND BS #267,305 ROSE STREET,IMPERIAL PARK,50.4742157810001,-104.608841422
,OUTDOOR RINK SHELTER,MCNAB PARK - OUTDOOR RINK SHELTER,4802 11TH AVENUE,MCNAB PARK,50.4491663090001,-104.647019248
,PLAYGROUND,ARTHUR PARK - PLAYGROUND 4215 SHERWOOD DR,4215 SHERWOOD DRIVE,ARTHUR PARK,50.4748340950001,-104.651470265
,PUBLIC ELEMENTARY SCHOOL,REGINA HUDA - PUBLIC ELEMENTARY SCHOOL,40 SHEPPARD STREET,REGINA HUDA - PUBLIC ELEMENTARY SCHOOL,50.4809461710001,-104.624459566
,ATHLETIC FIELD,HOLY ROSARY - ATHLETIC FIELD SOCCER ATHLETIC FIELD,3118 14TH AVENUE,HOLY ROSARY,50.4442894700001,-104.627544946
,PLAYGROUND,ST. MARGUERITE BOURGEOYS SCHOOL - PLAYGROUND 2910 E SHOOTER DR,2910 E SHOOTER DRIVE,ST. MARGUERITE BOURGEOYS SCHOOL,50.4359253040001,-104.541661323
,BALL DIAMOND,DOUGLAS PARK SW - BALL DIAMOND BS #110,3025 MCDONALD STREET,DOUGLAS PARK SW,50.4273200390001,-104.582093235
,PLAYGROUND,DR. HANNA SCHOOL - PLAYGROUND 55 DAVIN CRES,55 DAVIN CRESCENT,DR. HANNA SCHOOL,50.4893981100001,-104.629077978
,PLAYGROUND,LAKERIDGE PARK N - PLAYGROUND 5560 LEIBEL CRES,5560 LEIBEL CRESCENT,LAKERIDGE PARK N,50.5023616560001,-104.658724846
,ATHLETIC FIELD,KITCHNER SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,840 ATHOL STREET,KITCHNER SCHOOL,50.4648982680001,-104.629024054
,OUTDOOR RINK BOARDED,GLEN ELM PARK - OUTDOOR RINK BOARDED,1601 BOND STREET,GLEN ELM PARK,50.452996419,-104.566825537
,BASKETBALL,MASSEY SCHOOL - BASKETBALL,131 MASSEY ROAD,MASSEY SCHOOL,50.4112579950001,-104.60774884
,SEPARATE ELEMENTARY SCHOOL,ST. MARGUERITE BOURGEOYS - SEPARATE ELEMENTARY SCHOOL,2910 E SHOOTER DRIVE,ST. MARGUERITE BOURGEOYS - SEPARATE ELEMENTARY SCHOOL,50.4360300800001,-104.541431856
,ATHLETIC FIELD,LIVINGSTONE FOOTBALL - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,750 N WINNIPEG STREET,LIVINGSTONE FOOTBALL,50.4870589060001,-104.59833384
,OUTDOOR RINK UNBOARDED,BLOCK 11B PARK - OUTDOOR RINK UNBOARDED,945 REYNOLDS STREET,BLOCK 11B PARK,50.4633195420001,-104.58898544
,OUTDOOR RINK UNBOARDED,RUTH BUCK PARK - OUTDOOR RINK UNBOARDED,6310 7TH AVENUE N,RUTH BUCK PARK,50.4763674690001,-104.672450106
,PUBLIC HIGH SCHOOL,CAMPBELL COLLEGIATE - PUBLIC HIGH SCHOOL,102 MASSEY ROAD,CAMPBELL COLLEGIATE - PUBLIC HIGH SCHOOL,50.412335333,-104.610670409
,PLAYGROUND,ARGYLE SCHOOL - PLAYGROUND 2941 LAKEVIEW AVE,2941 LAKEVIEW AVENUE,ARGYLE SCHOOL,50.421486681,-104.625425322
,PLAYGROUND,STEWART RUSSELL PARK - PLAYGROUND 1912 E 7TH AVE,1912 E 7TH AVENUE,STEWART RUSSELL PARK,50.4587407710001,-104.55593693
,PUBLIC ELEMENTARY SCHOOL,MCLURG - PUBLIC ELEMENTARY SCHOOL,125 PAYNTER CRESCENT,MCLURG - PUBLIC ELEMENTARY SCHOOL,50.4725242580001,-104.680019171
,ATHLETIC FIELD,MASSEY WEST MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,2355 PARLIAMENT AVENUE,MASSEY WEST MULTI,50.4142254860001,-104.611956622
,ATHLETIC FIELD,LITZENBERGER - ATHLETIC FIELD SOCCER ATHLETIC FIELD,100 RINK AVENUE,LITZENBERGER,50.4894696540001,-104.649658395
,ATHLETIC FIELD,ST. CATHERINE SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,150 BROTHERTON AVENUE,ST. CATHERINE SCHOOL,50.4535658120001,-104.553960359
,OUTDOOR TENNIS,GOCKI PARK - OUTDOOR TENNIS,2230 LINDSAY STREET,GOCKI PARK,50.442700007,-104.585422859
,PLAYGROUND,ST. MICHAEL SCHOOL - PLAYGROUND 431 HAMILTON ST,431 HAMILTON STREET,ST. MICHAEL SCHOOL,50.4713372610001,-104.609091658
,BALL DIAMOND,LAKEVIEW SCHOOL SW - BALL DIAMOND BS #16,3100 20TH AVENUE,LAKEVIEW SCHOOL SW,50.4319128600001,-104.626501832
