entityid,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
00009b92-5d46-4231-bda7-08e404822ed0,18831,50.491978,-104.681098,96,1.4894
0002762e-7682-47d2-b468-e204f788569d,18830,50.488367,-104.685447,189,2.4465
0002ec34-b366-46c0-99dc-7c5b0b84bdd9,18930,50.487965,-104.637988,75,1.2678
0007c9dd-e5ba-45ae-8297-34cf0644ff87,18861,50.45055,-104.645156,24,1.2287
00094f05-87f4-440b-acf3-d3278f55067b,18839,50.45509,-104.613694,530,9.7244
000bae67-f706-4e4e-9564-dd6ddce644dc,18861,50.445497,-104.636913,44,2.4075
000dcc71-09c4-47c0-8881-45c893292384,18938,50.401824,-104.622201,62,2.3742
000e033b-776d-48a1-a56e-6c18b7f2e675,18830,50.420981,-104.606095,417,17.5429
000e495a-8f07-438a-82b9-3a7ae961ded9,18871,50.458018,-104.540836,220,6.3495
0011182f-3373-4d95-8a50-b8d986db4862,18835,50.485808,-104.644645,421,16.6255
00149efc-d262-4a0e-98bb-fee828518e78,18928,50.450325,-104.618086,66,6.6107
00175ed1-dad2-4250-9eb7-89bfd6a04613,18831,50.415605,-104.594531,625,21.4944
00196f8c-0ff7-4c63-a3cb-2bc8114b4b47,18945,50.401551,-104.622168,75,6.042
001aca88-9fe9-4eb7-9561-d251acd2b8a7,18900,50.441881,-104.565763,453,10.7399
001d3a48-66a4-46ef-bf0a-3d0cb42ed7f6,18863,50.450558,-104.654133,85,8.961
001dacc4-c21f-4f1c-9f3f-f1f8367fb284,18944,50.456718,-104.595184,18,2.516
0020ac19-e904-4695-8d89-c457a857cd62,18809,50.4488,-104.61514,53,6.7892
0020dfdd-ef53-4f93-9631-f61fa66526f8,18866,50.448044,-104.5379,746,22.8972
00216fe6-691c-4a0b-9556-66682078cd78,18840,50.497803,-104.599587,170,2.2448
00236bc5-c3e1-42e4-8543-1a7bb043a278,18810,50.492359,-104.602828,38,2.1441
00255ce7-4db3-4c14-9990-379ceb9dbb97,18951,50.431256,-104.635462,97,5.9376
00260bc4-e87c-41da-9826-2bc3ec7d8b8a,18927,50.497789,-104.60408,227,3.6074
002686dc-566d-4c70-bac3-c19ad7bec294,18866,50.415459,-104.615383,333,5.0239
0027e41a-14fc-4d1d-a045-9743b47b51eb,18934,50.46523,-104.672512,304,16.6801
00295434-d2a7-42d0-84b4-55e3f9ea29c1,18839,50.497387,-104.605447,230,2.6829
002a24c7-69e7-445b-9dd5-1715be9677e3,18820,50.487896,-104.637645,351,2.2104
002bacb6-4bf2-4724-991c-e1bf0e3a2027,18916,50.503598,-104.656349,112,4.0732
002dcb70-cc2a-4e41-8b67-fd1b07b870dd,18910,50.473839,-104.580247,126,6.5023
002fb12a-8e09-423b-a078-886531b46dfc,18811,50.468448,-104.606403,31,3.5962
00323f70-6c3d-4a72-bebe-c33a0f8cae65,18843,50.474682,-104.669991,292,10.2339
0032e4c2-f882-4a02-a9bf-1ea81c472dc0,18936,50.450383,-104.615141,247,10.7104
0035574d-2ad7-48dc-9322-cea85d798330,18947,50.491482,-104.682502,191,4.2415
00366581-2678-4141-bed1-38b0536b590d,18890,50.431386,-104.635492,80,5.9222
00393246-531d-4d66-b677-776677b27e85,18873,50.447173,-104.585067,208,6.9571
003b6157-7e33-4168-b418-b1b67473c454,18824,50.427624,-104.600848,560,13.4468
003bb516-16d6-40a4-9851-cde8fbd85bbe,18909,50.401811,-104.622795,20,0.0142
003ce329-36ca-4a7b-a995-be5540f29f63,18949,50.401609,-104.603008,150,3.8586
003dbac9-2804-498a-908b-6bbea0721ff9,18884,50.429157,-104.535762,37,0.0868
004067ff-ee8e-41d8-806d-8dac8a0505fe,18902,50.440864,-104.587954,18,1.9516
0046a5bb-b0e7-4a71-b9d8-6b9bf52d94d7,18938,50.401878,-104.622256,77,2.3836
0049955e-702c-4a7b-a29c-fc976b8cb67e,18839,50.496442,-104.613232,315,3.2772
0049f82c-357f-4f37-a071-7c0eb955cb1a,18828,50.491983,-104.674895,298,10.9684
004f66e8-ef19-41d4-90b7-42ac5f535a38,18924,50.428301,-104.601607,358,11.7475
00507c86-625c-468a-95f7-dd06ee98f9db,18810,50.452038,-104.618095,578,15.2277
005367af-2d40-4141-a69e-e84db4d07540,18924,50.474182,-104.632568,53,4.6202
0059b274-55e6-4a57-8f22-27fb1620c882,18840,50.492342,-104.602946,17,1.1017
005add99-e5c9-4bd8-b2fe-0298b94076da,18920,50.462992,-104.600084,122,1.2523
005dd4b1-bd38-4a8f-99ef-e8155482476f,18833,50.491209,-104.644369,671,18.8194
00657bc3-7022-40cf-bc00-2944e154cb18,18835,50.475545,-104.636958,365,13.9448
0066ad07-a659-4c43-95d1-c4b31f49b94d,18918,50.498215,-104.65731,50,0.8816
006b6312-5bb4-4092-866c-4718f52f77ff,18811,50.480693,-104.59516,14,1.4451
006c07c1-1ecb-4fe7-a5ca-1521b5c289e4,18903,50.440765,-104.603474,56,5.025
006c6d8a-6d0b-4d40-84f8-1323c599ec39,18935,50.423411,-104.618065,120,12.344
006e3758-6a46-412d-997b-2e390d218ac6,18922,50.450383,-104.552573,546,12.0218
0072aa8d-725e-42c5-83dc-f5d791096bca,18926,50.474211,-104.632584,504,10.048
0073618b-250f-46dc-989f-fc5f4a40dcd8,18891,50.447167,-104.613689,175,7.8535
007395b2-23bb-4ed6-89f1-4b8f0cfe3a5a,18884,50.429104,-104.53602,17,0.0635
0077d17f-2c4d-478f-9495-15ad5aab40ea,18926,50.411024,-104.595043,52,0.7794
00784621-a4e3-447d-8cfb-8ed6fc6f2f46,18892,50.435422,-104.629699,62,4.9028
0078e695-c9f6-452e-b047-6f81ff5dd54c,18833,50.495944,-104.65196,715,19.9602
007aaba3-df75-478a-9e68-41ac06922069,18891,50.415458,-104.618071,16,2.2437
007ae882-3b2b-448d-8c6e-c37b555489d4,18839,50.464548,-104.618111,519,8.3754
007bb2c4-2c83-4c5b-91aa-4b2fe7feea41,18835,50.416267,-104.583722,84,1.4071
007d2df1-46ca-460b-bfe5-8a4c019595b1,18921,50.429055,-104.536041,228,6.8096
007d8611-b626-426f-b5e8-a8e0b6c8db98,18828,50.491889,-104.681472,248,10.4886
008352fe-38ac-4536-9093-0794551bc863,18945,50.401462,-104.622099,58,6.0292
0083df2c-07e7-4f27-af5a-99df7540c456,18810,50.497756,-104.599444,172,3.2657
008458c5-a37f-425b-ace1-73486a663259,18885,50.42253,-104.543966,124,1.2416
008e59a4-85a6-4e6f-9867-70d6ce5caaec,18880,50.439983,-104.549369,324,14.0827
008f6c32-839f-415d-b38a-e761da03ffbd,18836,50.440769,-104.61809,221,6.603
0091ee78-80bd-40a9-aaf6-be73e2cddcbc,18824,50.486468,-104.643753,184,2.7684
0094ceb1-f2bf-4c33-97ed-ee9e107ebfd0,18843,50.474922,-104.672681,305,10.5048
0096829d-d470-42f3-af91-936fe33b2f25,18935,50.462933,-104.659674,50,2.9808
0096beb5-f31b-4e90-a275-0dfd3723d539,18946,50.403767,-104.600306,210,2.7747
009881d9-a9e0-4fb9-81b1-d658d4dd9f59,18866,50.45749,-104.530418,535,20.1464
00a06462-8892-4b1e-b3a1-f465e9c911d5,18843,50.470861,-104.618103,28,4.3047
00a58747-7f46-4386-aec4-57aaca6d4b4b,18941,50.42877,-104.535355,331,10.729
00a5c695-cd6d-4fed-9efb-1ef025314b26,18818,50.49474,-104.641139,5,0.323
00a7bec7-0835-440a-84ad-dd29e26d55d6,18880,50.440865,-104.590841,30,3.4011
00aabc5f-d144-4bef-a8eb-014fca8df2f9,18890,50.438676,-104.638113,62,4.5341
00ac424b-02e1-4240-ae06-2eed2f460748,18810,50.497863,-104.603618,202,3.5716
00b0df66-11fb-41d8-8c6a-c8ff7e3688e0,18900,50.435082,-104.551214,125,1.8114
00b2b927-96b3-424d-b2ea-c1605ab70fdb,18888,50.401876,-104.622251,472,22.0267
00b51987-b3e8-42f8-af06-ca6e33e8790b,18810,50.493425,-104.615316,433,4.6933
00b795c3-4cc7-48d0-9385-a68b9a96c594,18927,50.492067,-104.602119,65,2.2161
00bd8211-1391-4706-a934-c7dcadf67e3f,18894,50.437717,-104.598234,24,3.1997
00bec8f2-639a-4369-b52f-292c9a681bad,18917,50.494907,-104.640824,32,2.2645
00bf5a36-2773-4482-acaa-0cc7265e57d8,18922,50.428938,-104.535276,404,8.5293
00c34368-523a-4ca6-a189-eba3beefbc9e,18840,50.48855,-104.613205,476,4.2762
00c41413-0fa0-47c9-a710-c6c9b813ebf3,18914,50.447172,-104.615139,12,1.459
00c4b8a9-7c8a-4276-a92b-d021cc685cc2,18888,50.440865,-104.622485,250,12.9304
00cb1597-654a-493e-a602-82c4d31a91d5,18930,50.487981,-104.638035,72,1.2634
00cc417b-93ae-41ec-b70c-ebf1a621680d,18946,50.41187,-104.609036,344,4.4758
00cd3c60-2816-4cc2-8fcc-ba15f1f561b2,18910,50.469166,-104.572287,135,7.357
00d322ad-4017-4c9f-89bd-adfc6ee2cde8,18833,50.407602,-104.582009,46,0.9951
00d4a22e-eb51-46e7-b1db-f9b337e9536b,18947,50.491984,-104.675849,103,3.7388
00d58ba4-4671-4193-ac8d-7f6e6b0c4e40,18933,50.474095,-104.632481,152,4.7752
